#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Gm7536	Rps23	2106465	2102909	10090.ENSMUSP00000076607	10090.ENSMUSP00000054490	0	0	0	0	0	0.867	0	0.400	0.916
Atr	Rpa1	2099316	2093147	10090.ENSMUSP00000034980	10090.ENSMUSP00000000767	0	0	0	0	0	0.818	0	0.543	0.913
Akt3	Pten	2111503	2094170	10090.ENSMUSP00000106789	10090.ENSMUSP00000013807	0	0	0	0	0	0.409	0	0.857	0.912
Cct6a	Cct3	2098184	2093234	10090.ENSMUSP00000031402	10090.ENSMUSP00000001452	0	0	0	0.783	0	0.900	0	0.585	0.912
Nop58	Ftsj3	2096815	2095054	10090.ENSMUSP00000027174	10090.ENSMUSP00000021048	0	0	0	0	0	0.900	0	0.123	0.908
Mrpl15	Mrpl49	2112558	2093913	10090.ENSMUSP00000115512	10090.ENSMUSP00000007482	0	0	0	0	0	0.906	0	0	0.906
Rps27a	Rps23	2110414	2102909	10090.ENSMUSP00000099908	10090.ENSMUSP00000054490	0	0	0	0	0	0.903	0	0.060	0.904
Jun	Kras	2102864	2098474	10090.ENSMUSP00000054270	10090.ENSMUSP00000032399	0	0	0	0	0	0.278	0	0.873	0.904
Rpl6	Rpl19	2098248	2094431	10090.ENSMUSP00000031617	10090.ENSMUSP00000017548	0	0	0	0	0	0.802	0	0.530	0.903
Gm10335	Rpl19	2108925	2094431	10090.ENSMUSP00000093719	10090.ENSMUSP00000017548	0	0	0	0	0	0.892	0	0.133	0.902
Btaf1	Tbpl2	2109616	2106963	10090.ENSMUSP00000097093	10090.ENSMUSP00000079309	0	0	0	0	0	0.774	0	0.584	0.901
mt-Nd4l	Ndufs7	2107268	2094843	10090.ENSMUSP00000081021	10090.ENSMUSP00000020361	0	0	0	0	0	0.772	0	0.580	0.900
Eif3i	Eif3e	2110292	2095679	10090.ENSMUSP00000099653	10090.ENSMUSP00000022960	0	0	0	0	0	0.819	0	0.461	0.898
Zfp259	Eef1a1	2112679	2100750	10090.ENSMUSP00000117725	10090.ENSMUSP00000042457	0	0	0	0	0	0.796	0	0.511	0.895
Gtf3c4	Gtf3c5	2100718	2097119	10090.ENSMUSP00000042265	10090.ENSMUSP00000028157	0	0	0	0	0	0.554	0	0.772	0.894
Guca1a	Gucy2e	2103850	2095120	10090.ENSMUSP00000060027	10090.ENSMUSP00000021259	0	0	0	0	0	0.513	0	0.792	0.894
Xrcc5	Yars	2096880	2093226	10090.ENSMUSP00000027379	10090.ENSMUSP00000001365	0	0	0	0	0	0.889	0	0.066	0.891
Rps27a	Rpsa	2110414	2099357	10090.ENSMUSP00000099908	10090.ENSMUSP00000035105	0	0	0	0	0	0.883	0	0.087	0.888
Fancm	Atr	2102958	2099316	10090.ENSMUSP00000054797	10090.ENSMUSP00000034980	0	0	0	0	0	0.704	0	0.639	0.888
Gm8420	Rpl19	2114162	2094431	10090.ENSMUSP00000131518	10090.ENSMUSP00000017548	0	0	0	0	0	0.792	0	0.488	0.888
Mrpl48	Mrpl49	2112592	2093913	10090.ENSMUSP00000116090	10090.ENSMUSP00000007482	0	0	0	0	0	0.777	0	0.515	0.887
Taf1a	Taf1b	2109059	2106240	10090.ENSMUSP00000094808	10090.ENSMUSP00000075339	0	0	0	0	0	0.622	0	0.711	0.886
Gnai1	Gnb3	2106032	2096026	10090.ENSMUSP00000074259	10090.ENSMUSP00000024206	0	0	0	0	0	0.753	0	0.550	0.884
Mad2l1	Mapre2	2110075	2096195	10090.ENSMUSP00000098897	10090.ENSMUSP00000025127	0	0	0	0	0	0.794	0	0.430	0.877
Ubqlnl	Rad23a	2103228	2093554	10090.ENSMUSP00000056365	10090.ENSMUSP00000003911	0	0	0	0	0	0.742	0	0.543	0.877
Tek	Acaca	2110387	2094986	10090.ENSMUSP00000099862	10090.ENSMUSP00000020843	0	0	0	0	0	0.761	0	0.500	0.875
Utp15	Nop58	2101805	2096815	10090.ENSMUSP00000048204	10090.ENSMUSP00000027174	0	0	0	0	0	0.835	0	0.259	0.872
Cnot1	Pde12	2104406	2103790	10090.ENSMUSP00000063565	10090.ENSMUSP00000059666	0	0	0	0	0	0.804	0	0.361	0.869
E2f1	Acaca	2110194	2094986	10090.ENSMUSP00000099434	10090.ENSMUSP00000020843	0	0	0	0	0	0.868	0	0	0.868
Tek	Pecam1	2110387	2107015	10090.ENSMUSP00000099862	10090.ENSMUSP00000079664	0	0	0	0	0	0	0	0.866	0.866
Fancm	Rpa1	2102958	2093147	10090.ENSMUSP00000054797	10090.ENSMUSP00000000767	0	0	0	0	0	0.824	0	0.272	0.866
Acaca	Cct3	2094986	2093234	10090.ENSMUSP00000020843	10090.ENSMUSP00000001452	0	0	0	0	0	0.685	0	0.588	0.864
Gm8420	Rpl6	2114162	2098248	10090.ENSMUSP00000131518	10090.ENSMUSP00000031617	0	0	0	0	0	0.713	0	0.543	0.863
Rpl19	Rpl10	2094431	2093973	10090.ENSMUSP00000017548	10090.ENSMUSP00000008826	0	0	0	0	0	0.781	0	0.397	0.862
Cpsf3	Papolg	2105021	2094891	10090.ENSMUSP00000068148	10090.ENSMUSP00000020513	0	0	0	0	0	0.719	0	0.522	0.860
Cfl2	Wdr1	2106567	2093682	10090.ENSMUSP00000077262	10090.ENSMUSP00000005234	0	0	0	0	0	0.687	0	0.570	0.859
Gm10335	Rps23	2108925	2102909	10090.ENSMUSP00000093719	10090.ENSMUSP00000054490	0	0	0	0	0	0.818	0	0.238	0.855
Sf3a2	Cdc40	2112649	2101072	10090.ENSMUSP00000117160	10090.ENSMUSP00000044305	0	0	0	0	0	0.821	0	0.226	0.855
Rps23	Rpl6	2102909	2098248	10090.ENSMUSP00000054490	10090.ENSMUSP00000031617	0	0	0	0	0	0.821	0	0.217	0.853
Gm10335	Rpl35a	2108925	2106680	10090.ENSMUSP00000093719	10090.ENSMUSP00000077857	0	0	0	0	0	0.800	0	0.297	0.853
Rps27a	Kxd1	2110414	2108458	10090.ENSMUSP00000099908	10090.ENSMUSP00000091165	0	0	0	0	0	0.851	0	0.052	0.852
Rps27a	Ubqlnl	2110414	2103228	10090.ENSMUSP00000099908	10090.ENSMUSP00000056365	0	0	0	0	0	0.773	0	0.372	0.851
Ddx20	Smn1	2108109	2095409	10090.ENSMUSP00000088176	10090.ENSMUSP00000022147	0	0	0	0	0	0.681	0	0.540	0.847
Rpl21-ps4	Rpl19	2106932	2094431	10090.ENSMUSP00000079127	10090.ENSMUSP00000017548	0	0	0	0	0	0.768	0	0.368	0.847
Stx12	Snap29	2097934	2095830	10090.ENSMUSP00000030698	10090.ENSMUSP00000023449	0	0	0	0	0	0.757	0	0.389	0.845
Rad51l3	Rpa1	2094584	2093147	10090.ENSMUSP00000018985	10090.ENSMUSP00000000767	0	0	0	0	0	0.680	0	0.536	0.845
Nop14	Bms1	2099982	2098421	10090.ENSMUSP00000038382	10090.ENSMUSP00000032237	0	0	0	0	0	0.742	0	0.424	0.845
Mrpl15	Mrpl22	2112558	2094979	10090.ENSMUSP00000115512	10090.ENSMUSP00000020820	0	0	0	0	0	0.803	0	0.238	0.843
Gm5745	Rps23	2107439	2102909	10090.ENSMUSP00000082452	10090.ENSMUSP00000054490	0	0	0	0	0	0.821	0	0.158	0.842
Rpl35a	Rpl10	2106680	2093973	10090.ENSMUSP00000077857	10090.ENSMUSP00000008826	0	0	0	0	0	0.781	0	0.299	0.840
Utp15	Bms1	2101805	2098421	10090.ENSMUSP00000048204	10090.ENSMUSP00000032237	0	0	0	0	0	0.742	0	0.404	0.839
Bmpr2	Smad1	2107700	2105441	10090.ENSMUSP00000084701	10090.ENSMUSP00000071035	0	0	0	0	0	0.062	0	0.834	0.838
Gm7536	Rpl19	2106465	2094431	10090.ENSMUSP00000076607	10090.ENSMUSP00000017548	0	0	0	0	0	0.821	0	0.123	0.836
Sumo2	ENSMUSG00000069712	2112537	2109849	10090.ENSMUSP00000115044	10090.ENSMUSP00000097613	0	0	0	0	0	0.654	0	0.544	0.835
Cfl2	Actg2	2106567	2106112	10090.ENSMUSP00000077262	10090.ENSMUSP00000074658	0	0	0	0	0	0.644	0	0.551	0.833
Hsp90aa1	Chordc1	2095266	2093294	10090.ENSMUSP00000021698	10090.ENSMUSP00000001825	0	0	0	0	0	0.601	0	0.597	0.833
Rpl6	Rpl10	2098248	2093973	10090.ENSMUSP00000031617	10090.ENSMUSP00000008826	0	0	0	0	0	0.728	0	0.405	0.831
Kras	Shoc2	2098474	2096464	10090.ENSMUSP00000032399	10090.ENSMUSP00000025932	0	0	0	0	0	0.410	0	0.725	0.830
Mad2l1	Thumpd1	2110075	2098722	10090.ENSMUSP00000098897	10090.ENSMUSP00000033236	0	0	0	0	0	0.828	0	0	0.828
Gm5093	Rpl19	2113554	2094431	10090.ENSMUSP00000127966	10090.ENSMUSP00000017548	0	0	0	0	0	0.765	0	0.297	0.827
Hsf4	Hsp90aa1	2101950	2095266	10090.ENSMUSP00000048904	10090.ENSMUSP00000021698	0	0	0	0	0	0.378	0	0.734	0.827
Gm7589	Rpl19	2107473	2094431	10090.ENSMUSP00000082771	10090.ENSMUSP00000017548	0	0	0	0	0	0.765	0	0.297	0.827
Gm10036	Rpl19	2106844	2094431	10090.ENSMUSP00000078670	10090.ENSMUSP00000017548	0	0	0	0	0	0.765	0	0.297	0.827
Nop14	Nop58	2099982	2096815	10090.ENSMUSP00000038382	10090.ENSMUSP00000027174	0	0	0	0	0	0.681	0	0.479	0.826
Rpsa	Rpl19	2099357	2094431	10090.ENSMUSP00000035105	10090.ENSMUSP00000017548	0	0	0	0	0	0.762	0	0.298	0.825
Gng11	Gnb3	2098268	2096026	10090.ENSMUSP00000031670	10090.ENSMUSP00000024206	0	0	0	0	0	0.774	0	0.256	0.824
Myh6	Hsp90aa1	2107169	2095266	10090.ENSMUSP00000080538	10090.ENSMUSP00000021698	0	0	0	0	0	0.795	0	0.176	0.823
Kras	Pten	2098474	2094170	10090.ENSMUSP00000032399	10090.ENSMUSP00000013807	0	0	0	0	0	0.143	0	0.802	0.823
Gm10335	Gm7536	2108925	2106465	10090.ENSMUSP00000093719	10090.ENSMUSP00000076607	0	0	0	0	0	0.776	0	0.239	0.822
Aars	Yars	2099122	2093226	10090.ENSMUSP00000034441	10090.ENSMUSP00000001365	0	0	0	0	0	0.212	0	0.782	0.821
Cdc40	Pnpt1	2101072	2094967	10090.ENSMUSP00000044305	10090.ENSMUSP00000020756	0	0	0	0	0	0.794	0	0.158	0.819
Gm7536	Rpl10	2106465	2093973	10090.ENSMUSP00000076607	10090.ENSMUSP00000008826	0	0	0	0	0	0.763	0	0.259	0.817
Rpl21-ps4	Gm7536	2106932	2106465	10090.ENSMUSP00000079127	10090.ENSMUSP00000076607	0	0	0	0	0	0.710	0	0.398	0.817
Rpl23a	Rpl35a	2110240	2106680	10090.ENSMUSP00000099541	10090.ENSMUSP00000077857	0	0	0	0	0	0.682	0	0.447	0.816
Fgf4	Pou5f1	2103297	2096242	10090.ENSMUSP00000056752	10090.ENSMUSP00000025271	0	0	0	0	0	0	0	0.815	0.815
Mrpl22	Rpl19	2094979	2094431	10090.ENSMUSP00000020820	10090.ENSMUSP00000017548	0	0	0	0	0	0.768	0	0.238	0.815
Gm7536	Rpl6	2106465	2098248	10090.ENSMUSP00000076607	10090.ENSMUSP00000031617	0	0	0	0	0	0.778	0	0.203	0.815
Chmp5	Chmp6	2097756	2096607	10090.ENSMUSP00000030128	10090.ENSMUSP00000026434	0	0	0	0	0	0	0	0.814	0.814
mt-Nd4l	mt-Cytb	2107268	2107259	10090.ENSMUSP00000081021	10090.ENSMUSP00000081003	0	0	0	0	0	0	0	0.814	0.814
Gm5745	Rpl19	2107439	2094431	10090.ENSMUSP00000082452	10090.ENSMUSP00000017548	0	0	0	0	0	0.802	0	0.100	0.814
Gm10335	Rpl10	2108925	2093973	10090.ENSMUSP00000093719	10090.ENSMUSP00000008826	0	0	0	0	0	0.719	0	0.362	0.813
Eif3i	Eif1	2110292	2100568	10090.ENSMUSP00000099653	10090.ENSMUSP00000041538	0	0	0	0	0	0.675	0	0.448	0.812
Ifih1	Irf3	2097157	2093473	10090.ENSMUSP00000028259	10090.ENSMUSP00000003284	0	0	0	0	0	0.103	0	0.797	0.811
Tomm6	Tomm5	2111784	2110995	10090.ENSMUSP00000108926	10090.ENSMUSP00000103438	0	0	0	0	0	0	0	0.808	0.808
Utp15	Nop14	2101805	2099982	10090.ENSMUSP00000048204	10090.ENSMUSP00000038382	0	0	0	0	0	0.742	0	0.289	0.808
Mak16	Ftsj3	2098949	2095054	10090.ENSMUSP00000033983	10090.ENSMUSP00000021048	0	0	0	0	0	0.807	0	0	0.807
Gm5745	Rpl35a	2107439	2106680	10090.ENSMUSP00000082452	10090.ENSMUSP00000077857	0	0	0	0	0	0.802	0	0.062	0.806
Mad2l1	Ndc80	2110075	2096108	10090.ENSMUSP00000098897	10090.ENSMUSP00000024851	0	0	0	0	0	0.539	0	0.597	0.806
Snx7	Snx6	2097584	2093733	10090.ENSMUSP00000029639	10090.ENSMUSP00000005798	0	0	0	0	0	0.685	0	0.411	0.806
Gm5093	Rpl35a	2113554	2106680	10090.ENSMUSP00000127966	10090.ENSMUSP00000077857	0	0	0	0	0	0.741	0	0.275	0.804
Gm10036	Rpl35a	2106844	2106680	10090.ENSMUSP00000078670	10090.ENSMUSP00000077857	0	0	0	0	0	0.741	0	0.275	0.804
Gm7589	Rpl35a	2107473	2106680	10090.ENSMUSP00000082771	10090.ENSMUSP00000077857	0	0	0	0	0	0.741	0	0.275	0.804
Cpsf3	Rbbp6	2105021	2102051	10090.ENSMUSP00000068148	10090.ENSMUSP00000049528	0	0	0	0	0	0.681	0	0.408	0.803
Pbp2	Mrpl47	2110002	2101781	10090.ENSMUSP00000098414	10090.ENSMUSP00000048078	0	0	0	0	0	0.803	0	0	0.803
Mrpl15	Pbp2	2112558	2110002	10090.ENSMUSP00000115512	10090.ENSMUSP00000098414	0	0	0	0	0	0.803	0	0	0.803
Rps27a	Eif1	2110414	2100568	10090.ENSMUSP00000099908	10090.ENSMUSP00000041538	0	0	0	0	0	0.798	0	0.063	0.802
Prokr2	Prok2	2103280	2098391	10090.ENSMUSP00000056659	10090.ENSMUSP00000032152	0	0	0	0	0	0	0	0.802	0.802
Bmpr2	Inhba	2107700	2101745	10090.ENSMUSP00000084701	10090.ENSMUSP00000047894	0	0	0	0	0	0.305	0	0.727	0.802
Pbp2	Mrpl49	2110002	2093913	10090.ENSMUSP00000098414	10090.ENSMUSP00000007482	0	0	0	0	0	0.800	0	0	0.800
Rpl41	Rpsa	2114558	2099357	10090.ENSMUSP00000134737	10090.ENSMUSP00000035105	0	0	0	0	0	0.800	0	0	0.800
Mrpl15	Rpl19	2112558	2094431	10090.ENSMUSP00000115512	10090.ENSMUSP00000017548	0	0	0	0	0	0.792	0	0.082	0.800
Ifih1	Tbk1	2097157	2094831	10090.ENSMUSP00000028259	10090.ENSMUSP00000020316	0	0	0	0	0	0.101	0	0.784	0.798
Gm5745	Gm7536	2107439	2106465	10090.ENSMUSP00000082452	10090.ENSMUSP00000076607	0	0	0	0	0	0.778	0	0.130	0.798
Rpl23a	Rpl19	2110240	2094431	10090.ENSMUSP00000099541	10090.ENSMUSP00000017548	0	0	0	0	0	0.754	0	0.207	0.796
Gm13691	Cdc40	2109831	2101072	10090.ENSMUSP00000097530	10090.ENSMUSP00000044305	0	0	0	0	0	0.787	0	0.085	0.796
Jun	Pten	2102864	2094170	10090.ENSMUSP00000054270	10090.ENSMUSP00000013807	0	0	0	0	0	0.104	0	0.781	0.795
Smad1	Inhba	2105441	2101745	10090.ENSMUSP00000071035	10090.ENSMUSP00000047894	0	0	0	0	0	0.112	0	0.779	0.795
Haus2	Haus8	2112658	2100435	10090.ENSMUSP00000117299	10090.ENSMUSP00000040802	0	0	0	0	0	0.554	0	0.556	0.793
Ppia	Hsp90aa1	2112688	2095266	10090.ENSMUSP00000117987	10090.ENSMUSP00000021698	0	0	0	0	0	0.197	0	0.753	0.793
Xrcc5	Rad51l3	2096880	2094584	10090.ENSMUSP00000027379	10090.ENSMUSP00000018985	0	0	0	0	0	0.196	0	0.752	0.792
Xrcc5	Rpa1	2096880	2093147	10090.ENSMUSP00000027379	10090.ENSMUSP00000000767	0	0	0	0	0	0.681	0	0.369	0.790
Usp14	Cops2	2108302	2097256	10090.ENSMUSP00000089728	10090.ENSMUSP00000028635	0	0	0	0	0	0.779	0	0.092	0.790
Scg2	Chgb	2104244	2097313	10090.ENSMUSP00000062556	10090.ENSMUSP00000028826	0	0	0	0	0	0	0	0.789	0.789
Rheb	Pten	2097962	2094170	10090.ENSMUSP00000030787	10090.ENSMUSP00000013807	0	0	0	0	0	0.143	0	0.761	0.787
Msl3	Msl2	2111619	2107426	10090.ENSMUSP00000107765	10090.ENSMUSP00000082270	0	0	0	0	0	0.504	0	0.584	0.785
Gm5745	Rpl6	2107439	2098248	10090.ENSMUSP00000082452	10090.ENSMUSP00000031617	0	0	0	0	0	0.762	0	0.128	0.783
Gm5745	Rps26	2107439	2096602	10090.ENSMUSP00000082452	10090.ENSMUSP00000026420	0	0	0	0	0	0.780	0	0.057	0.783
Vps4a	Chmp5	2099099	2097756	10090.ENSMUSP00000034388	10090.ENSMUSP00000030128	0	0	0	0	0	0.404	0	0.651	0.783
Gm7536	Mrpl47	2106465	2101781	10090.ENSMUSP00000076607	10090.ENSMUSP00000048078	0	0	0	0	0	0.783	0	0	0.783
Rbbp6	Papolg	2102051	2094891	10090.ENSMUSP00000049528	10090.ENSMUSP00000020513	0	0	0	0	0	0.675	0	0.358	0.782
Igf2	Prl	2112474	2111400	10090.ENSMUSP00000114076	10090.ENSMUSP00000105998	0	0	0	0	0	0	0	0.779	0.780
Akt3	Hsp90aa1	2111503	2095266	10090.ENSMUSP00000106789	10090.ENSMUSP00000021698	0	0	0	0	0	0.700	0	0.293	0.779
Gm3550	Rps23	2110572	2102909	10090.ENSMUSP00000100655	10090.ENSMUSP00000054490	0	0	0	0	0	0.772	0	0.070	0.778
Sigmar1	Ch25h	2103169	2102073	10090.ENSMUSP00000056027	10090.ENSMUSP00000049683	0	0	0	0	0	0.680	0	0.333	0.777
Gm10335	Gm5745	2108925	2107439	10090.ENSMUSP00000093719	10090.ENSMUSP00000082452	0	0	0	0	0	0.753	0	0.138	0.777
Gm7075	Ube2m	2109667	2093728	10090.ENSMUSP00000097258	10090.ENSMUSP00000005714	0	0	0	0	0	0.673	0	0.344	0.776
Gm10335	Rpl6	2108925	2098248	10090.ENSMUSP00000093719	10090.ENSMUSP00000031617	0	0	0	0	0	0.762	0	0.098	0.776
Map3k6	Hsp90aa1	2097927	2095266	10090.ENSMUSP00000030677	10090.ENSMUSP00000021698	0	0	0	0	0	0.761	0	0.100	0.775
Slc32a1	Slc17a6	2099596	2098553	10090.ENSMUSP00000036299	10090.ENSMUSP00000032710	0	0	0	0	0	0	0	0.768	0.768
Gm5093	Rpl6	2113554	2098248	10090.ENSMUSP00000127966	10090.ENSMUSP00000031617	0	0	0	0	0	0.681	0	0.301	0.767
Bub3	Ndc80	2107328	2096108	10090.ENSMUSP00000081547	10090.ENSMUSP00000024851	0	0	0	0	0	0.045	0	0.767	0.767
Gm7589	Rpl6	2107473	2098248	10090.ENSMUSP00000082771	10090.ENSMUSP00000031617	0	0	0	0	0	0.681	0	0.301	0.767
Ccl17	Il13	2099040	2094935	10090.ENSMUSP00000034232	10090.ENSMUSP00000020650	0	0	0	0	0	0	0	0.767	0.767
Gm10036	Rpl6	2106844	2098248	10090.ENSMUSP00000078670	10090.ENSMUSP00000031617	0	0	0	0	0	0.681	0	0.301	0.767
Gm3550	Gm10335	2110572	2108925	10090.ENSMUSP00000100655	10090.ENSMUSP00000093719	0	0	0	0	0	0.681	0	0.297	0.766
Atr	Rad51l3	2099316	2094584	10090.ENSMUSP00000034980	10090.ENSMUSP00000018985	0	0	0	0	0	0.500	0	0.552	0.766
Mrpl47	Rpl10	2101781	2093973	10090.ENSMUSP00000048078	10090.ENSMUSP00000008826	0	0	0	0	0	0.764	0	0	0.764
Rpl10	Mrpl49	2093973	2093913	10090.ENSMUSP00000008826	10090.ENSMUSP00000007482	0	0	0	0	0	0.741	0	0.128	0.764
Gm7589	Rpl21-ps4	2107473	2106932	10090.ENSMUSP00000082771	10090.ENSMUSP00000079127	0	0	0	0	0	0.646	0	0.360	0.763
Gm5093	Rpl21-ps4	2113554	2106932	10090.ENSMUSP00000127966	10090.ENSMUSP00000079127	0	0	0	0	0	0.646	0	0.360	0.763
Rpl21-ps4	Gm10036	2106932	2106844	10090.ENSMUSP00000079127	10090.ENSMUSP00000078670	0	0	0	0	0	0.646	0	0.360	0.763
Tro	Nsmce2	2107683	2106838	10090.ENSMUSP00000084513	10090.ENSMUSP00000078641	0	0	0	0	0	0.553	0	0.490	0.762
Rpl23a	Rps23	2110240	2102909	10090.ENSMUSP00000099541	10090.ENSMUSP00000054490	0	0	0	0	0	0.682	0	0.279	0.761
Gm5745	Rpl10	2107439	2093973	10090.ENSMUSP00000082452	10090.ENSMUSP00000008826	0	0	0	0	0	0.728	0	0.159	0.761
Rpl23a	Rpl6	2110240	2098248	10090.ENSMUSP00000099541	10090.ENSMUSP00000031617	0	0	0	0	0	0.654	0	0.338	0.761
Gm44	Nsmce2	2113866	2106838	10090.ENSMUSP00000129722	10090.ENSMUSP00000078641	0	0	0	0	0	0.553	0	0.485	0.759
Magea10	Nsmce2	2107832	2106838	10090.ENSMUSP00000085832	10090.ENSMUSP00000078641	0	0	0	0	0	0.553	0	0.485	0.759
Prl	Jun	2111400	2102864	10090.ENSMUSP00000105998	10090.ENSMUSP00000054270	0	0	0	0	0	0	0	0.758	0.758
Rpl21-ps4	Rpl6	2106932	2098248	10090.ENSMUSP00000079127	10090.ENSMUSP00000031617	0	0	0	0	0	0.684	0	0.268	0.758
Rps23	Rpl10	2102909	2093973	10090.ENSMUSP00000054490	10090.ENSMUSP00000008826	0	0	0	0	0	0.673	0	0.287	0.756
Eef1a1	Yars	2100750	2093226	10090.ENSMUSP00000042457	10090.ENSMUSP00000001365	0	0	0	0	0	0.400	0	0.609	0.755
Gm10036	Rpl10	2106844	2093973	10090.ENSMUSP00000078670	10090.ENSMUSP00000008826	0	0	0	0	0	0.675	0	0.273	0.753
Gm5093	Rpl10	2113554	2093973	10090.ENSMUSP00000127966	10090.ENSMUSP00000008826	0	0	0	0	0	0.675	0	0.273	0.753
Gm7589	Rpl10	2107473	2093973	10090.ENSMUSP00000082771	10090.ENSMUSP00000008826	0	0	0	0	0	0.675	0	0.273	0.753
